# Multipole Expansion Model for Optical Coupling Strength
# 
# Parameters:
# a = 300 nm (Major axis)
# b = 180 nm (Minor axis)
# lambda = 1064 nm (Wavelength)
# V = 0.04 ×10⁻¹⁸ m³ (Volume)
# rho = 3500 kg/m³ (Density)
# I = 3.49e-30 kg·m² (Moment of inertia)
# L1 = 0.210 (Depolarization factor, major axis)
# L2 = 0.395 (Depolarization factor, minor axis)
# epsilon_r = 5.7 (Relative permittivity)
# C1 = 0.033 (Multipole expansion coefficient, 1st order)
# C2 = 0.012 (Multipole expansion coefficient, 2nd order)
#
# Columns:
# R_lambda: Distance between particles in units of wavelength (dimensionless)
# g_*mW_kHz: Coupling strength at different laser powers (in kHz)
#
# Note: Data generated for Fig. 1 in manuscript
R_lambda,g_600mW_kHz,g_800mW_kHz,g_1000mW_kHz
0.55,-151.23606388136315,-174.63236438616886,-195.24491891949347
0.552,-149.49958209569994,-172.62724793337782,-193.0031305738715
0.554,-147.7542998440394,-170.6119695777616,-190.7499808755006
0.556,-146.00043313390722,-168.5867787433266,-188.48574868889747
0.5579999999999999,-144.23819896245493,-166.55192599680024,-186.21071415617993
0.5599999999999999,-142.46781527117759,-164.50766299534448,-183.9251586386085
0.5619999999999999,-140.68950090115646,-162.45424243487358,-181.62936465880418
0.564,-138.9034755488118,-160.39191799896219,-179.3236158436258
0.566,-137.10995972215053,-158.32094430832467,-177.00819686768622
0.5679999999999998,-135.309174697498,-156.24157687085307,-174.68339339749326
0.5699999999999998,-133.50134247669868,-154.1540720321968,-172.3494920361957
0.5719999999999998,-131.68668574477599,-152.0586869268721,-170.00678026892237
0.5739999999999998,-129.86542782803807,-149.9556794298874,-167.65554640869763
0.5759999999999998,-128.03779265261898,-147.84530810887003,-165.29607954291717
0.5779999999999997,-126.20400470344566,-145.72783217668626,-162.92866948037587
0.5799999999999997,-124.36428898361973,-143.60351144453847,-160.5536066988286
0.5819999999999997,-122.51887097420499,-141.47260627553248,-158.17118229307715
0.5839999999999997,-120.66797659441167,-139.33537753870206,-155.78168792356763
0.5859999999999997,-118.81183216216937,-137.19208656348218,-153.3854157654909
0.5879999999999996,-116.95066435507871,-135.04299509462055,-150.98265845837116
0.5899999999999996,-115.08470017173707,-132.88836524751952,-148.57370905613718
0.5919999999999996,-113.2141668934268,-130.72845946399835,-146.15886097766307
0.5939999999999996,-111.33929204616396,-128.56354046847022,-143.73840795777232
0.5959999999999995,-109.46030336309602,-126.39387122452318,-141.31264399869423
0.5979999999999995,-107.57742874724575,-124.21971489190022,-138.88186332196594
0.5999999999999995,-105.69089623459365,-122.04133478387088,-136.4463603207725
0.6019999999999995,-103.80093395749411,-119.85899432498758,-134.0064295127169
0.6039999999999995,-101.90777010841836,-117.67295700921963,-131.5623654930128
0.6059999999999994,-100.01163290402204,-115.48348635846229,-129.11446288809572
0.6079999999999994,-98.11275054952961,-113.29084588141097,-126.66301630964358
0.6099999999999994,-96.21135120343241,-111.09529903279865,-124.20832030900222
0.6119999999999994,-94.30766294249716,-108.89710917299044,-121.7506693320113
0.6139999999999994,-92.40191372707835,-106.69653952793054,-119.29035767422306
0.6159999999999993,-90.49433136673356,-104.4938531494376,-116.82767943651152
0.6179999999999993,-88.58514348613542,-102.28931287584379,-114.36292848106564
0.6199999999999993,-86.67457749127993,-100.08318129297508,-111.89639838776381
0.6219999999999993,-84.76286053598481,-97.87572069546708,-109.4283824109237
0.6239999999999993,-82.85021948867755,-95.66719304841511,-106.95917343642579
0.6259999999999992,-80.93688089946919,-93.45785994935443,-104.4890639392058
0.6279999999999992,-79.02307096751086,-91.24798259056658,-102.01834594111216
0.6299999999999992,-77.10901550863291,-89.03782172171249,-99.54731096912826
0.6319999999999992,-75.19493992326089,-86.82763761278483,-97.07625001395222
0.6339999999999992,-73.2810691646105,-84.6176900173829,-94.6054534889368
0.6359999999999991,-71.36762770715542,-82.40823813630234,-92.13521118938135
0.6379999999999991,-69.4548395153702,-80.19954058144245,-89.66581225217921
0.6399999999999991,-67.5429280127439,-77.99185534002642,-87.19754511581456
0.6419999999999991,-65.6321160510635,-75.78543973913254,-84.73069748070715
0.6439999999999991,-63.72262587996756,-73.58055041053817,-82.26555626990672
0.645999999999999,-61.81467911676654,-71.377443255871,-79.80240759013077
0.647999999999999,-59.908496716530024,-69.17637341206884,-77.34153669314753
0.649999999999999,-58.00429894243935,-66.97759521714576,-74.88322793750139
0.651999999999999,-56.10230533640612,-64.78136217626526,-72.42776475058143
0.653999999999999,-54.20273468995367,-62.58792692811723,-69.97542959102985
0.6559999999999989,-52.305805015362,-60.397541211598664,-67.52650391148985
0.6579999999999989,-50.411733517077124,-58.21045583280032,-65.08126812169535
0.6599999999999989,-48.52073656338086,-56.026920632293695,-62.64000155189714
0.6619999999999989,-46.63302965832399,-53.847184452722324,-60.20298241662848
0.6639999999999988,-44.7488274139206,-51.67149510669433,-57.770487778808146
0.6659999999999988,-42.868343522604796,-49.50009934497845,-55.342793514182326
0.6679999999999988,-40.99179072994785,-47.333242825000404,-52.92017427610255
0.6699999999999988,-39.11938080763763,-45.17117007964213,-50.50290346064221
0.6719999999999988,-37.251324526718356,-43.014124486341885,-48.09125317204937
0.6739999999999987,-35.387831631093235,-40.86234823649767,-45.685494188538726
0.6759999999999987,-33.52911081128774,-38.71608230517152,-43.28589592842014
0.6779999999999987,-31.675369678474162,-36.57556642109594,-40.89272641656461
0.6799999999999987,-29.826814738759783,-34.44103903698412,-38.5062522512102
0.6819999999999987,-27.983651367735884,-32.3127373001419,-36.12673857110517
0.6839999999999986,-26.146083785290084,-30.19089702338347,-33.75444902299076
0.6859999999999986,-24.314315030680998,-28.075752656250074,-31.389645729422735
0.6879999999999986,-22.48854693787767,-25.967537256534403,-29.03258925693467
0.6899999999999986,-20.668980111161513,-23.866482462108237,-26.683538584540294
0.6919999999999986,-18.855813900993567,-21.77281846305625,-24.34275107257814
0.6939999999999985,-17.049246380145714,-19.686773974114757,-22.01048243189715
0.6959999999999985,-15.249474320098965,-17.60857620741884,-19.686986693386988
0.6979999999999985,-13.45669316770635,-15.538450845554914,-17.372516177849942
0.6999999999999985,-11.671097022123508,-13.476622014922492,-15.067321466218441
0.7019999999999985,-9.892878612005722,-11.42331225940359,-12.77165137011657
0.7039999999999984,-8.122229272974451,-9.378742514343317,-10.485752902769478
0.7059999999999984,-6.35933892535153,-7.343132080839543,-8.20987125025835
0.7079999999999984,-4.604396052162673,-5.316698600343539,-5.944249743123071
0.7099999999999984,-2.857587677412564,-3.299658029574202,-3.6891298283154645
0.7119999999999984,-1.1190993446295352,-1.2922246157435917,-1.4447510415006086
0.7139999999999983,0.6108849043170674,0.705389127902675,0.7886490202898376
0.7159999999999983,2.332182550127995,2.6929724462314906,3.010834725653758
0.7179999999999983,4.044612616710311,4.6703163660509075,5.221572435459811
0.7199999999999983,5.747995691540913,6.637213719623909,7.420630529136647
0.7219999999999983,7.442153945754291,8.593459167863752,9.607779430606067
0.7239999999999982,9.126911153955342,10.538849223211827,11.782791633861255
0.7259999999999982,10.802092713754133,12.473182272194489,13.945441728186083
0.7279999999999982,12.467525665024692,14.396258597661143,16.09550642301806
0.7299999999999982,14.123038708885241,16.307880400700796,18.232764572451753
0.7319999999999981,15.768462226398503,18.20785182223524,20.356997199380714
0.7339999999999981,17.403628296993162,20.095978964290374,22.467987519279557
0.7359999999999981,19.028370716603963,21.97206991094257,24.565520963622674
0.7379999999999981,20.64252501553099,23.835934748940794,26.649385202940522
0.7399999999999981,22.245928476015358,25.68738558800126,28.719370169509606
0.741999999999998,23.8384201495329,27.526236580776445,30.775268079678753
0.743999999999998,25.41984087380324,29.3523039424955,32.81687345582752
0.745999999999998,26.990033289514695,31.16540597027654,34.84398314795808
0.747999999999998,28.54884185676253,32.965363062107805,36.85639635491685
0.749999999999998,30.096112871201846,34.75199773549949,38.85391464524781
0.7519999999999979,31.631694479913364,36.52513464580396,40.83634197767519
0.7539999999999979,33.15543669698029,38.284600604202325,42.803484721212975
0.7559999999999979,34.66719141877771,40.030224595359186,44.75515167490359
0.7579999999999979,36.1668124389719,41.76183779474225,46.691154087181815
0.7599999999999979,37.6541554632303,43.47927358560806,48.61130567486533
0.7619999999999978,39.12907812363951,45.18236757565033,50.515422641768275
0.7639999999999978,40.59143999283296,46.87095761331329,52.403323696939935
0.7659999999999978,42.04110259782572,48.54488380376671,54.274830072525475
0.7679999999999978,43.47792943355734,50.20398852454377,56.12976554124963
0.7699999999999978,44.901785976139784,51.848116440838545,57.96795643351974
0.7719999999999977,46.31253969581286,53.477114520465555,59.78923165415105
0.7739999999999977,47.71006006960387,55.090832048478006,61.59342269871043
0.7759999999999977,49.094218593693114,56.689120641446095,63.38036366947998
0.7779999999999977,50.46488879548214,58.27183426139227,65.14989129103719
0.7799999999999977,51.82194624536677,59.838829229385624,66.90184492545384
0.7819999999999976,53.16526856821339,61.38996423879348,68.63606658711169
0.7839999999999976,54.49473545453663,62.92510036818834,70.35240095713311
0.7859999999999976,55.81022867138064,64.44410109391237,72.05069539742831
0.7879999999999976,57.111632072901045,65.94683230229657,73.73079996435705
0.7899999999999976,58.398831610649296,67.43316230153599,75.39256742200533
0.7919999999999975,59.67171534355642,68.90296183321801,77.03585325507453
0.7939999999999975,60.930173447618735,70.35610408350654,78.66051568138558
0.7959999999999975,62.174098225282826,71.79246469397853,80.26641566399482
0.7979999999999975,63.403384114531086,73.21192177211553,81.8534169229236
0.7999999999999974,64.61792769766583,74.61435590144632,83.42138594649828
0.8019999999999974,65.81762770979368,75.99965015134393,84.9701920023036
0.8039999999999974,67.00238504700863,77.36769008647477,86.4997071477471
0.8059999999999974,68.1721027742735,78.71836377589928,88.00980624023393
0.8079999999999974,69.32668613300068,80.05156180182524,89.50036694695342
0.8099999999999973,70.46604254833075,81.36717726801277,90.97126975427612
0.8119999999999973,71.59008163611044,82.66510580783131,92.42239797676176
0.8139999999999973,72.6987152095672,83.94524559196714,93.85363776577655
0.8159999999999973,73.79185728568326,85.20749733578337,95.26487811772195
0.8179999999999973,74.8694240912674,86.45176430633093,96.65601088187299
0.8199999999999972,75.93133406872477,87.67795232901129,98.02693076782768
0.8219999999999972,76.97750788152467,88.88596979388959,99.37753535256508
0.8239999999999972,78.00786841936657,90.07572766166037,100.70772508711542
0.8259999999999972,79.02234080304443,91.2471394692641,102.01740330283934
0.8279999999999972,80.02085238900966,92.40012133515606,103.30647621731883
0.8299999999999971,81.00333277363139,93.53459196422583,104.57485293985731
0.8319999999999971,81.96971379715671,94.65047265237003,105.82244547659212
0.8339999999999971,82.91992954736916,95.74768729071678,107.04916873521773
0.8359999999999971,83.85391636294575,96.82616236950216,108.25494052931951
0.8379999999999971,84.77161283651408,97.88582698160026,109.43968158232067
0.839999999999997,85.67295981740871,98.92661282570582,110.6033155310404
0.841999999999997,86.55790041412762,99.94845420917078,111.74576892886546
0.843999999999997,87.42637999648827,100.95128805049403,112.86697124853346
0.845999999999997,88.27834619748526,101.93505388146619,113.96685488453112
0.847999999999997,89.1137489148483,102.8996938489688,115.04535515510561
